id	alert	postcode	locality	lga	lga_shortname	state	state_shortname	lat	lng
1	4001 ALMERIA	4001	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
2	4002 ALMERIA	4002	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
3	4002 EL PALMER	4002	EL PALMER	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
4	4003 ALMERIA	4003	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
5	4004 ALMERIA	4004	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
6	4005 ALMERIA	4005	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
7	4006 ALMERIA	4006	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
8	4007 ALMERIA	4007	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
9	4008 ALMERIA	4008	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
10	4009 ALMERIA	4009	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
11	4070 ALMERIA	4070	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
12	4071 ALMERIA	4071	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
13	4080 ALMERIA	4080	ALMERIA	ALMERÍA	AL	ANDALUCIA	AN	36.8381	-2.4597
14	4100 NIJAR	4100	NIJAR	ALMERÍA	AL	ANDALUCIA	AN	36.9665	-2.2059
15	4110 CAMPOHERMOSO	4110	CAMPOHERMOSO	ALMERÍA	AL	ANDALUCIA	AN	36.9362	-2.1319
16	4113 ATOCHARES	4113	ATOCHARES	ALMERÍA	AL	ANDALUCIA	AN	36.8825	-2.1058
17	4113 EL VISO	4113	EL VISO	ALMERÍA	AL	ANDALUCIA	AN	36.8825	-2.1058
18	4114 LOS CORTIJILLOS	4114	LOS CORTIJILLOS	ALMERÍA	AL	ANDALUCIA	AN	36.9877	-2.1075
19	4114 VENTA DEL POBRE	4114	VENTA DEL POBRE	ALMERÍA	AL	ANDALUCIA	AN	36.9877	-2.1075
20	4114 TORRE DEL CAMPO	4114	TORRE DEL CAMPO	ALMERÍA	AL	ANDALUCIA	AN	36.9877	-2.1075
21	4114 SALADAR Y LECHE	4114	SALADAR Y LECHE	ALMERÍA	AL	ANDALUCIA	AN	36.9625	-2.0953
22	4114 POLOPOS	4114	POLOPOS	ALMERÍA	AL	ANDALUCIA	AN	37.0266	-2.0803
23	4114 TRISTANES	4114	TRISTANES	ALMERÍA	AL	ANDALUCIA	AN	36.974	-2.1469
24	4115 RODALQUILAR	4115	RODALQUILAR	ALMERÍA	AL	ANDALUCIA	AN	36.8487	-2.0443
25	4116 HORTICHUELAS	4116	HORTICHUELAS	ALMERÍA	AL	ANDALUCIA	AN	36.8802	-2.0047
26	4116 FERNANPEREZ	4116	FERNANPEREZ	ALMERÍA	AL	ANDALUCIA	AN	36.8802	-2.0047
27	4116 HORNILLOS	4116	HORNILLOS	ALMERÍA	AL	ANDALUCIA	AN	36.8802	-2.0047
